PWM: VALID | duty: 96.5% | requested motor: 7374 rpm | ramp target motor: 7374 rpm | requested spindle: 12057 rpm | ramp target spindle: 12057 rpm | measured motor: 7313 rpm | measured spindle: 11957 rpm | Iq setpoint: 3.868 A | Iq measured: 4.042 A | Iq filtered: 3.346 A | power index: 24470 | Vbus: 47.57 V | Ibus: 1.94 A | Id measured: -0.298 A | Hall: 0b11 | electrical phase: 0.8706 rad | Vd: 0.000 V | Vq: 1.132 V | modulation: 0.604 | Blue: 1467.6 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.4% | requested motor: 7370 rpm | ramp target motor: 7370 rpm | requested spindle: 12051 rpm | ramp target spindle: 12051 rpm | measured motor: 7345 rpm | measured spindle: 12009 rpm | Iq setpoint: 3.456 A | Iq measured: 2.711 A | Iq filtered: 3.225 A | power index: 23689 | Vbus: 47.59 V | Ibus: 1.90 A | Id measured: -0.367 A | Hall: 0b100 | electrical phase: 0.4546 rad | Vd: 0.000 V | Vq: 1.144 V | modulation: 0.621 | Blue: 1465.8 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.4% | requested motor: 7371 rpm | ramp target motor: 7371 rpm | requested spindle: 12051 rpm | ramp target spindle: 12051 rpm | measured motor: 7384 rpm | measured spindle: 12072 rpm | Iq setpoint: 3.024 A | Iq measured: 3.232 A | Iq filtered: 3.208 A | power index: 23687 | Vbus: 47.58 V | Ibus: 1.97 A | Id measured: -0.802 A | Hall: 0b100 | electrical phase: 0.5388 rad | Vd: 0.000 V | Vq: 1.159 V | modulation: 0.605 | Blue: 1476.0 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.4% | requested motor: 7367 rpm | ramp target motor: 7367 rpm | requested spindle: 12044 rpm | ramp target spindle: 12044 rpm | measured motor: 7372 rpm | measured spindle: 12053 rpm | Iq setpoint: 3.099 A | Iq measured: 3.817 A | Iq filtered: 3.440 A | power index: 25361 | Vbus: 47.54 V | Ibus: 2.82 A | Id measured: -0.141 A | Hall: 0b1 | electrical phase: 0.3136 rad | Vd: 0.000 V | Vq: 1.135 V | modulation: 0.598 | Blue: 1469.8 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.4% | requested motor: 7368 rpm | ramp target motor: 7368 rpm | requested spindle: 12047 rpm | ramp target spindle: 12047 rpm | measured motor: 7337 rpm | measured spindle: 11996 rpm | Iq setpoint: 3.586 A | Iq measured: 3.770 A | Iq filtered: 3.233 A | power index: 23723 | Vbus: 47.59 V | Ibus: 2.13 A | Id measured: -0.291 A | Hall: 0b1 | electrical phase: 0.1055 rad | Vd: 0.000 V | Vq: 1.121 V | modulation: 0.642 | Blue: 1473.6 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.4% | requested motor: 7373 rpm | ramp target motor: 7373 rpm | requested spindle: 12056 rpm | ramp target spindle: 12056 rpm | measured motor: 7366 rpm | measured spindle: 12043 rpm | Iq setpoint: 3.226 A | Iq measured: 2.909 A | Iq filtered: 3.100 A | power index: 22831 | Vbus: 47.54 V | Ibus: 2.61 A | Id measured: 0.358 A | Hall: 0b110 | electrical phase: 0.7809 rad | Vd: 0.000 V | Vq: 1.078 V | modulation: 0.637 | Blue: 1466.8 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.4% | requested motor: 7368 rpm | ramp target motor: 7368 rpm | requested spindle: 12046 rpm | ramp target spindle: 12046 rpm | measured motor: 7380 rpm | measured spindle: 12066 rpm | Iq setpoint: 3.077 A | Iq measured: 3.603 A | Iq filtered: 3.241 A | power index: 23921 | Vbus: 47.56 V | Ibus: 1.91 A | Id measured: -0.245 A | Hall: 0b11 | electrical phase: 0.0445 rad | Vd: 0.000 V | Vq: 1.247 V | modulation: 0.606 | Blue: 1471.6 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.3% | requested motor: 7364 rpm | ramp target motor: 7364 rpm | requested spindle: 12040 rpm | ramp target spindle: 12040 rpm | measured motor: 7366 rpm | measured spindle: 12043 rpm | Iq setpoint: 3.217 A | Iq measured: 3.464 A | Iq filtered: 3.341 A | power index: 24609 | Vbus: 47.63 V | Ibus: 1.44 A | Id measured: 0.270 A | Hall: 0b10 | electrical phase: 0.8704 rad | Vd: 0.000 V | Vq: 1.381 V | modulation: 0.611 | Blue: 1476.1 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.2% | requested motor: 7357 rpm | ramp target motor: 7357 rpm | requested spindle: 12029 rpm | ramp target spindle: 12029 rpm | measured motor: 7332 rpm | measured spindle: 11988 rpm | Iq setpoint: 3.585 A | Iq measured: 3.235 A | Iq filtered: 3.393 A | power index: 24875 | Vbus: 47.52 V | Ibus: 2.78 A | Id measured: -0.526 A | Hall: 0b110 | electrical phase: 0.6996 rad | Vd: 0.000 V | Vq: 1.150 V | modulation: 0.572 | Blue: 1468.3 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.3% | requested motor: 7361 rpm | ramp target motor: 7361 rpm | requested spindle: 12036 rpm | ramp target spindle: 12036 rpm | measured motor: 7362 rpm | measured spindle: 12036 rpm | Iq setpoint: 3.293 A | Iq measured: 2.466 A | Iq filtered: 3.218 A | power index: 23689 | Vbus: 47.60 V | Ibus: 1.39 A | Id measured: -1.350 A | Hall: 0b1 | electrical phase: 0.1774 rad | Vd: 0.000 V | Vq: 1.355 V | modulation: 0.598 | Blue: 1474.1 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
